Date;Open;High;Low;Close;WAP;No. of Shares;No. of Trades;Total Turnover;Deliverable Quantity;% Deli. Qty to Traded Qty;Spread H-L;Spread C-O
06.02.2017;79;79;76;76;79;74300;70;58480;74300;1000;3;-3
03.02.2017;79;79;79;79;79;3100;40;2440;3100;1000;0;0
02.02.2017;83;83;83;83;83;750;10;620;750;1000;0;0
31.01.2017;87;87;87;87;87;10500;20;9130;10500;1000;0;0
25.01.2017;91;91;91;91;91;4000;10;3640;4000;1000;0;0
24.01.2017;91;91;9;91;91;36320;60;33030;36320;1000;1;0
23.01.2017;91;91;91;91;91;550;10;500;550;1000;0;0
20.01.2017;93;93;92;92;92;740;20;680;740;1000;1;-1
19.01.2017;89;89;89;89;88;770;20;680;770;1000;0;0
18.01.2017;88;88;85;85;87;840;20;730;840;1000;3;-3
17.01.2017;84;88;84;86;84;NaN;100;68060;81000;1000;4;2
12.01.2017;89;89;88;88;89;101050;30;89930;101050;1000;1;-1
10.01.2017;93;93;85;85;88;1550;20;1360;1550;1000;8;-8
09.01.2017;89;89;89;89;88;600;10;530;600;1000;0;0
06.01.2017;9;9;89;89;89;5800;20;5170;5800;1000;1;-1
05.01.2017;86;86;86;86;85;1100;10;940;1100;1000;0;0
04.01.2017;84;84;82;82;83;7050;40;5880;7050;1000;2;-2
03.01.2017;79;8;79;8;79;58650;70;46560;58650;1000;1;1
02.01.2017;77;77;77;77;77;4000;40;NaN;4000;1000;0;0
30.12.2016;75;75;75;75;75;3000;10;2250;3000;1000;0;0
29.12.2016;7;76;7;76;7;11520;20;8060;11520;1000;6;6
27.12.2016;73;73;73;73;NaN;12000;10;8760;12000;1000;0;0
26.12.2016;84;84;76;76;78;3120;30;2420;3120;1000;8;-8
22.12.2016;8;8;8;8;8;20000;20;16000;20000;1000;0;0
21.12.2016;88;88;8;8;8;14790;30;11890;14790;1000;8;-8
20.12.2016;84;84;84;84;84;NaN;10;2100;2500;1000;0;0
14.12.2016;88;88;88;88;88;7000;10;6160;7000;1000;0;0
13.12.2016;88;88;88;88;75;40;10;30;40;1000;0;0
12.12.2016;88;89;88;89;88;1000;20;880;1000;1000;1;1
06.12.2016;9;9;9;9;87;150;10;130;150;1000;0;0
05.12.2016;9;9;9;9;9;5000;20;4500;5000;1000;0;0
29.11.2016;96;96;91;91;93;11040;40;10240;11040;1000;5;-5
28.11.2016;96;96;95;95;95;120650;50;114920;120650;1000;1;-1
25.11.2016;93;93;93;93;93;2640;20;2450;2640;1000;0;0
24.11.2016;93;93;92;92;92;890;20;820;890;1000;1;-1
23.11.2016;9;9;9;9;89;650;10;580;650;1000;0;0
21.11.2016;89;89;89;89;89;4000;10;3560;4000;1000;0;0
18.11.2016;92;92;9;9;92;1820;30;1670;1820;1000;2;-2
17.11.2016;94;94;86;9;89;29730;100;26380;29730;NaN;8;-4
16.11.2016;9;9;9;9;9;10690;20;9620;10690;1000;0;0
15.11.2016;92;92;86;86;88;1710;40;1500;1710;1000;6;-6
11.11.2016;9;9;9;9;9;NaN;10;620;690;1000;0;0
10.11.2016;87;89;87;89;87;101910;50;88660;101910;1000;2;2
09.11.2016;91;91;9;91;9;100010;60;90220;100010;1000;1;0
08.11.2016;88;88;87;88;88;1370;30;1200;1370;1000;1;0
07.11.2016;91;91;84;84;85;35930;80;30660;35930;1000;7;-7
04.11.2016;88;88;84;88;86;92390;220;79900;92390;1000;4;0
03.11.2016;84;84;84;84;83;690;20;570;690;1000;0;0
02.11.2016;8;8;77;8;79;2850;40;2240;NaN;1000;3;0
01.11.2016;81;81;77;77;8;42390;60;33870;42390;1000;4;-4
25.10.2016;78;78;78;78;77;870;10;670;870;1000;0;0
24.10.2016;81;81;75;75;75;401650;50;302560;401650;1000;6;-6
21.10.2016;78;78;78;78;78;61840;40;48230;61840;1000;0;0
20.10.2016;77;77;76;76;76;3840;20;2920;3840;1000;1;-1
19.10.2016;8;8;74;74;78;153840;60;119930;153840;1000;6;-6
18.10.2016;78;78;77;77;78;12180;40;9480;12180;1000;1;-1
17.10.2016;78;78;75;75;77;80000;20;61500;80000;1000;3;-3
14.10.2016;72;78;72;78;77;55350;90;42470;55350;1000;6;6
07.10.2016;74;75;74;75;75;50500;30;37730;50500;1000;1;1
06.10.2016;72;72;72;72;72;506710;40;364830;506710;1000;0;0
05.10.2016;71;71;71;71;71;20000;10;14200;20000;1000;0;0
04.10.2016;7;7;68;68;7;275000;30;192000;275000;1000;2;-2
28.09.2016;7;7;7;7;7;30000;40;21000;30000;1000;0;0
27.09.2016;72;72;7;7;71;39940;50;28510;39940;1000;2;-2
26.09.2016;69;69;69;69;69;900;10;620;900;1000;0;0
23.09.2016;66;66;6;66;66;20550;70;13500;20550;1000;6;0
22.09.2016;57;63;57;63;57;106340;40;60790;106340;1000;6;6
21.09.2016;6;6;6;6;6;10000;10;6000;10000;1000;0;0
20.09.2016;63;63;NaN;63;63;1000;10;630;1000;1000;0;0
16.09.2016;65;65;63;63;63;758330;80;478140;758330;1000;2;-2
15.09.2016;69;69;66;66;69;10990;30;7550;10990;1000;3;-3
14.09.2016;69;74;69;69;69;229000;60;158510;229000;1000;5;0
12.09.2016;72;72;72;72;72;85000;50;61200;NaN;1000;0;0
08.09.2016;75;75;75;75;74;500;10;370;500;1000;0;0
02.09.2016;74;74;74;74;74;10000;10;7400;10000;1000;NaN;0
01.09.2016;75;75;74;75;75;211000;90;157230;211000;1000;1;0
30.08.2016;73;73;67;72;7;99800;40;69840;99800;1000;6;-1
29.08.2016;7;7;64;7;64;100910;40;64630;100910;1000;6;0
26.08.2016;73;73;67;67;67;54900;20;36830;54900;1000;6;-6
25.08.2016;73;76;7;7;7;53000;50;37220;53000;1000;6;-3
23.08.2016;73;76;73;73;73;11110;40;8140;11110;1000;3;0
22.08.2016;78;78;73;73;76;1750;20;1330;1750;1000;5;-5
19.08.2016;76;76;72;76;74;25750;50;19170;25750;1000;4;0
18.08.2016;67;73;67;73;73;33560;50;24340;33560;NaN;6;6
17.08.2016;76;76;7;7;76;1140840;140;865930;1140840;NaN;6;-6
12.08.2016;73;73;73;73;73;1000;10;730;1000;NaN;0;0
11.08.2016;71;71;71;71;7;900;10;630;900;1000;0;0
09.08.2016;69;69;69;69;69;10000;20;6900;10000;1000;0;0
04.08.2016;66;66;66;66;65;NaN;10;600;920;1000;0;0
03.08.2016;58;63;58;63;63;30100;60;18950;30100;1000;5;5
02.08.2016;6;6;6;6;6;10000;20;6000;10000;1000;0;0
01.08.2016;58;58;58;58;58;307910;50;178580;307910;1000;0;0
29.07.2016;56;56;56;56;56;50000;20;28000;50000;1000;0;0
26.07.2016;5;54;5;54;51;2900;20;NaN;2900;1000;4;4
25.07.2016;52;52;52;52;52;6820;20;3540;6820;1000;0;0
22.07.2016;54;54;54;54;54;3180;10;1710;3180;1000;0;0
21.07.2016;56;56;56;56;56;117000;20;65520;117000;1000;0;0
19.07.2016;57;57;57;57;57;22000;40;12540;22000;1000;0;0
18.07.2016;6;6;6;6;6;1100;10;660;1100;1000;0;0
05.07.2016;59;59;58;58;58;17030;40;9920;17030;1000;1;-1
28.06.2016;61;61;61;61;6;100;10;60;100;1000;0;0
20.06.2016;59;59;59;59;5;100;10;50;100;1000;0;0
07.06.2016;55;57;55;57;56;15000;40;8350;15000;1000;2;2
03.06.2016;57;57;57;57;57;7000;20;3990;7000;1000;0;0
26.05.2016;63;63;6;6;63;14170;40;8920;NaN;1000;3;-3
25.05.2016;6;6;6;6;0;10;10;NaN;10;1000;0;0
